"metric_timestamp","metric_name","_value"
"1510788602","buttercup.website.impressions","33019"
"1517451785","buttercup.website.impressions","11573"
"1518253973","buttercup.website.impressions","50320"
"1519321562","buttercup.website.impressions","49999"
"1518471230","buttercup.website.impressions","57650"
"1515814210","buttercup.website.impressions","50159"
"1513453266","buttercup.website.impressions","39436"
"1519456971","buttercup.website.impressions","43801"
"1517528156","buttercup.website.impressions","29414"
"1513263710","buttercup.website.impressions","12066"
"1516335600","buttercup.website.impressions","7249"
"1514726831","buttercup.website.impressions","27669"
"1519050559","buttercup.website.impressions","48418"
"1517675918","buttercup.website.impressions","19053"
"1519356026","buttercup.website.impressions","49802"
"1514813632","buttercup.website.impressions","20044"
"1517215158","buttercup.website.impressions","45758"
"1519781392","buttercup.website.impressions","20205"
"1511535148","buttercup.website.impressions","5535"
"1514292920","buttercup.website.impressions","42992"
"1514516353","buttercup.website.impressions","18596"
"1518296067","buttercup.website.impressions","25709"
"1513731254","buttercup.website.impressions","33868"
"1515281426","buttercup.website.impressions","29290"
"1512744254","buttercup.website.impressions","32231"
"1512359704","buttercup.website.impressions","29959"
"1512538862","buttercup.website.impressions","55832"
"1512936977","buttercup.website.impressions","56558"
"1517090230","buttercup.website.impressions","48636"
"1518439165","buttercup.website.impressions","11889"
"1510496183","buttercup.website.impressions","29014"
"1516300601","buttercup.website.impressions","39576"
"1517692650","buttercup.website.impressions","42221"
"1516674949","buttercup.website.impressions","6550"
"1514005237","buttercup.website.impressions","57793"
"1512122924","buttercup.website.impressions","21314"
"1515491900","buttercup.website.impressions","53551"
"1510231350","buttercup.website.impressions","50533"
"1518233467","buttercup.website.impressions","24383"
"1511068516","buttercup.website.impressions","21572"
"1512215395","buttercup.website.impressions","53801"
"1515654259","buttercup.website.impressions","42093"
"1519104081","buttercup.website.impressions","59209"
"1510210131","buttercup.website.impressions","20970"
"1518856532","buttercup.website.impressions","42062"
"1512088774","buttercup.website.impressions","23099"
"1516845082","buttercup.website.impressions","47836"
"1519205202","buttercup.website.impressions","36592"
"1513871157","buttercup.website.impressions","45963"
"1518879184","buttercup.website.impressions","15553"
"1510679560","buttercup.website.impressions","8987"
